name,playtimes,retention_rate1,retention_rate2,retention_rate3,retention_rate4
无界仙皇|爆笑玄幻修真|起点白金大神石三力作|多人有声剧,227630,0.1332813109637144,0.02901807777344258,0.012095200936402654,0.007179087007413188
百因必有果，你的天劫就是我|系统修仙|VIP免费丨多人有声剧,545348,0.07771847898599066,0.03216663869982852,0.005930333924047525,0.0
无限之开荒者,4995845,0.456931836919117,0.2773115937839279,0.18725135604508086,0.11632800337485519
异世谋前程:蜀山旁门之祖,274702,0.159831543822825,0.05434460859503243,0.017711220544836433,0.0
大道之争,504127,0.22276214270777156,0.14662601670757344,0.01770089261146637,0.0
猪仙,1525286,0.46774338491571377,0.35749727986241014,0.27301747938985965,0.01013951160568996
爝火记|悬疑恐怖,茅山阴阳风水道门神算清末爱国志士,1305919,0.17693626031668042,0.13029287381332585,0.10054222892940495,0.08420399974263136
从杀猪开始修仙|精品双播|驱神漫画,495542,0.13278847068522687,0.08767743708448278,0.049209394256481805,0.029946306454851974
邪猴（精品多人剧）,365261,0.09174040772723226,0.05002403632155257,0.034017626635805216,0.027013264488560493
从召唤外挂开始|无限穿越流|精品多人有声剧,271312,0.01661926697376327,0.004045663929501302,0.0029080712998197475,0.0021109553374724613
伪术士的悠闲生活(双播精品|玄幻修仙种田文）,354101,0.22938044262022297,0.11013208877760433,0.0,0.0
斩仙者| 精品仙侠多人有声剧,303863,0.23789019916273005,0.11305633403188795,0.08011309615662225,0.051127228198376236
楚神记丨寒门枭士丨一品布衣丨踏星捡漏丨一剑独尊！,66120,1.8096916299559471,2.362114537444934,3.092511013215859,4.236123348017621
都市真仙|武侠修仙,472586,0.14252931252380982,0.08514086338156773,0.05044656624721085,0.03911460758406753
截教仙｜热血武侠,1310609,0.272966164365826,0.032582625086953566,0.02380717265411902,0.0195522083462255
诛天魔尊,3952987,0.527236636249142,0.4593527189226961,0.4264094472283087,0.41240721693047533
天师传奇丨多人有声剧,431119,0.14162227689661763,0.07143369004395185,0.02783716319510797,0.0
大胤仙朝,345260,0.13429040132492956,0.09456998657802407,0.06580300306900151,0.02728742651271948
修仙三两事,2729472,0.13500808431642614,0.0,0.0,0.0
吞天| 门派废徒踏仙武| 葉曦播讲,92873,0.0,0.0,0.0,0.0
【精品多播】元始大帝 | 热血仙侠&奇幻神兽,323749,0.1609887403834723,0.08664640048910552,0.0638894078087054,0.02437460727204796
悬天,675121,0.2251695424499957,0.14483769299633323,0.00984143335418123,0.0
《仙府道途》来吧，修仙,2590414,0.11793987049163662,0.04796712337828787,0.026979044509805542,0.01684834447103961
长生造化诀【乡村修仙】免费小说,14581839,0.5849229416650572,0.49196951080072654,0.45712648894334046,0.42364725802189884
仙剑奇侠传(小说楚国版),623844,0.0,0.0,0.0,0.0
仙城长安|穿越&修仙|仙侠&古风|逆袭&扮猪吃老虎,183067,0.1501806439770044,0.11338434196363757,0.08672579662742284,0.07359260402673364
修仙战徒(玄幻热血多人有声剧),902388,0.348898436461886,0.235763830446915,0.01398945829826815,0.0
盗墓仙缘丨风水修仙,223676,0.039798320304553776,0.025142154156132246,0.014031365939186113,0.005255102535042089
我的七个师父风华绝代|爆笑修仙穿越异界,513329,0.28062955878841855,0.09640286611815897,0.0,0.0
