name,playtimes,retention_rate1,retention_rate2,retention_rate3,retention_rate4
摸金天师【第一季】（紫襟演播）,8519593180,0.5989077306970978,0.47820853726144275,0.41452062735745004,0.36536245634366765
大奉打更人丨头陀渊领衔多人有声剧|畅听全集|王鹤棣、田曦薇主演影视剧原著|卖报小郎君,5554089222,0.586055056836362,0.53226457640164,0.5067416946977937,0.494456349759636
一剑独尊（叶玄叶灵 | 有声的紫襟 | 男女双播）|北剑江湖,4459081127,0.5834366096123286,0.5063556260305819,0.4754880093805513,0.45489503197122444
猎罪者（阴间神探 | 日月收魂人奇门绝学四方探案 | 我在阳间破案）有声的紫襟,4295815422,0.671916199320527,0.5571014355756365,0.4717871041129682,0.3954141662459816
超品相师（丸子演播）,3880535540,0.6790306788065232,0.5711940410574807,0.5259659745594794,0.4862922845344071
绝世高手【头陀渊】免费有声小说,3594156601,0.5852602098607076,0.5063853500703689,0.43360621289930756,0.38312571738743967
都市奇门医圣|叶皓轩|全本免费,3397903723,0.5772218338131511,0.5050566292326785,0.46134658021941866,0.41687968584268853
上门龙婿|至尊龙婿叶辰萧初然,3262979311,0.5165005213278834,0.4461612172471584,0.42164528077087443,0.4044212211184911
最佳女婿｜都市异能多人有声剧｜一种侃侃｜VIP免费有声小说,3080885722,0.7530171570459028,0.47803132770986834,0.43463820957353705,0.41933845804276443
仙武帝尊|门派废徒再踏仙武|完结免费|极限帝尊仙武传,2993171513,0.6342908054755725,0.570817433858046,0.5469247241728378,0.5148753556594456
一念永恒|头陀渊&小桃红倾情演绎，大神作者耳根经典作品,2767081861,0.7237628334696038,0.642964909848518,0.5841665018143062,0.5214214558040892
国色天香（探险寻宝 | 盗墓猎奇）朱宇演播|免费,2755403362,0.6585477041961543,0.5950977058820887,0.5395037587518996,0.4842332548817459
首席医官,2740531411,0.6560480279030733,0.5903678962486885,0.5478967289112382,0.4989178824668078
茅山捉诡人|原名都市捉妖人|张老道播|北冥有声出品,2713985898,0.4896654981389236,0.40791763113875135,0.3587750850041777,0.3360768656369329
万古第一神丨有声的紫襟（3D音效玄幻多人有声剧）,2691581147,0.6722946304514761,0.5557880150059141,0.5125880040732819,0.484897025908907
雪中悍刀行【大斌&免费有声小说】 第一季,2611426333,0.6060126194936309,0.5094098837397837,0.48117408035700976,0.4295780047135693
遮天|辰东作品，头陀渊&小桃红精品双播|热播动画原著,2566270388,0.6080270570556432,0.5373621527271213,0.4779985306825633,0.42887846579599825
最强弃少【头陀渊&小桃红】重生,2536304240,0.5763599685066819,0.4893440076724937,0.43122491742810337,0.39383685100628196
我的老千生涯第一季（免费）|有声的紫襟 |五指幻术,2506364013,0.7403885317171552,0.6326077357674917,0.5607945411982196,0.49571334000197026
《斗破苍穹》20亿网络点击神作|原著无删减，畅听全集,1993185429,0.6286341168105763,0.8983538350815407,0.8001616442780378,0.8651579068216794
圣墟【头陀渊&小桃红】遮天后传,1865890805,0.6030682406049267,0.5328539334574968,0.48505460724245913,0.46052206972561416
全职高手|杨洋、江疏影主演电视剧原著,1786199040,0.7473654662800354,0.6935851305318212,0.5457921706409302,0.5097050590246892
老衲要还俗（上）免费有声小说｜搞笑,1745518079,0.7111380998801144,0.5936078210063154,0.5048862989691918,0.4309342370803422
斗罗大陆（同名动漫原著，唐家三少著，紫襟领衔）| 黄金神树,1741618252,0.43233395886898063,0.3822504931900194,0.4533116430270211,0.6924533533627107
无罪谋杀（又名《食罪者》最骇人听闻的谋杀）,1703935803,0.6049944034385152,0.5086148009912256,0.453658324585198,0.40283873829911204
老街中的痞子（免费）,1637930689,0.6276623098485864,0.5406985768242035,0.49735738937196833,0.4709801630133188
万族之劫丨都市玄幻多人有声剧丨一种侃侃｜VIP免费有声小说,1454776064,0.624458201116734,0.4948545362682646,0.4604323081991923,0.4492609506321799
逍遥派【昊翔演播】,1450902759,0.5591772611309398,0.4504542319446308,0.3964481719645803,0.36940384751887445
夜的命名术丨年度都市异能霸榜神作丨紫襟领衔有声剧,1433479166,0.605082205667959,0.5425482166525655,0.4979883999287825,0.4718342119423593
剑仙在此丨大斌丨搞笑&修仙精品多人剧,1426962294,0.6918087438300516,0.5610916844714194,0.48920974989793453,0.44612065988128163
《剑来》上 · 烽火戏诸侯&大斌,1420661676,0.5652596175950442,0.5066928823693381,0.45037916320063615,0.4379682879644719
明朝败家子（爆笑|没羞没臊的败家生活）,1419297029,0.41109506427029746,0.3237153835475808,0.2836581737785984,0.2524772105884681
赘婿（郭麒麟&宋轶主演影视原著，多人精品有声剧丨VIP免费,1363207500,0.5683554647029545,0.4534659803269013,0.3900506992936908,0.3710575162939295
【新民间剧场】天字第一当丨紫襟领衔多人有声剧丨麻衣神算子作者新作,1345360715,0.5300679065905125,0.4359840839468598,0.37119903439744184,0.32828404141643164
我身上有条龙｜都市玄幻多人有声剧VIP免费,1342594532,0.6161547249320827,0.5255193637929401,0.4831227048902219,0.42776222285285953
最强兵王|福海播讲|北冥出品|特兵将魂|狂徒手册,1336450440,0.6822485893109883,0.548112078063418,0.47349560784741446,0.4209541556609944
